    61/50000: episode: 1, duration: 4.258s, episode steps: 61, steps per second: 14, episode reward: 61.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.508 [0.000, 1.000], mean observation: -0.032 [-1.543, 1.146], loss: 0.426877, mean_absolute_error: 0.502965, mean_q: 0.178553\
   809/50000: episode: 36, duration: 0.300s, episode steps: 18, steps per second: 60, episode reward: 18.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.611 [0.000, 1.000], mean observation: -0.096 [-1.587, 0.776], loss: 0.228846, mean_absolute_error: 3.325323, mean_q: 6.514086\
   839/50000: episode: 37, duration: 0.500s, episode steps: 30, steps per second: 60, episode reward: 30.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.433 [0.000, 1.000], mean observation: 0.044 [-1.348, 2.011], loss: 0.307544, mean_absolute_error: 3.439476, mean_q: 6.709396\
   883/50000: episode: 38, duration: 0.732s, episode steps: 44, steps per second: 60, episode reward: 44.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.500 [0.000, 1.000], mean observation: -0.052 [-0.982, 0.611], loss: 0.439506, mean_absolute_error: 3.544398, mean_q: 6.848528\
   903/50000: episode: 39, duration: 0.332s, episode steps: 20, steps per second: 60, episode reward: 20.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.550 [0.000, 1.000], mean observation: -0.087 [-1.544, 0.793], loss: 0.352662, mean_absolute_error: 3.643039, mean_q: 7.130189\
   950/50000: episode: 40, duration: 0.783s, episode steps: 47, steps per second: 60, episode reward: 47.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.404 [0.000, 1.000], mean observation: -0.033 [-1.942, 2.486], loss: 0.373446, mean_absolute_error: 3.813032, mean_q: 7.483744\
   967/50000: episode: 41, duration: 0.283s, episode steps: 17, steps per second: 60, episode reward: 17.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.471 [0.000, 1.000], mean observation: 0.102 [-0.784, 1.359], loss: 0.451654, mean_absolute_error: 3.966106, mean_q: 7.702027\
   984/50000: episode: 42, duration: 0.283s, episode steps: 17, steps per second: 60, episode reward: 17.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.471 [0.000, 1.000], mean observation: 0.066 [-1.029, 1.607], loss: 0.331456, mean_absolute_error: 3.987871, mean_q: 7.798388\
  1003/50000: episode: 43, duration: 0.316s, episode steps: 19, steps per second: 60, episode reward: 19.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.632 [0.000, 1.000], mean observation: -0.025 [-1.791, 1.212], loss: 0.527355, mean_absolute_error: 4.061750, mean_q: 7.880209\
  1054/50000: episode: 44, duration: 0.850s, episode steps: 51, steps per second: 60, episode reward: 51.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.490 [0.000, 1.000], mean observation: -0.118 [-1.361, 0.622], loss: 0.456201, mean_absolute_error: 4.222223, mean_q: 8.265666\
  1083/50000: episode: 45, duration: 0.482s, episode steps: 29, steps per second: 60, episode reward: 29.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.517 [0.000, 1.000], mean observation: -0.017 [-1.743, 1.211], loss: 0.532967, mean_absolute_error: 4.399671, mean_q: 8.571150\
  1180/50000: episode: 46, duration: 1.615s, episode steps: 97, steps per second: 60, episode reward: 97.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.443 [0.000, 1.000], mean observation: -0.278 [-2.566, 1.279], loss: 0.480507, mean_absolute_error: 4.600977, mean_q: 9.056850\
  1214/50000: episode: 47, duration: 0.567s, episode steps: 34, steps per second: 60, episode reward: 34.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.559 [0.000, 1.000], mean observation: 0.031 [-1.694, 1.389], loss: 0.805907, mean_absolute_error: 4.945078, mean_q: 9.619282\
  1270/50000: episode: 48, duration: 0.933s, episode steps: 56, steps per second: 60, episode reward: 56.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.482 [0.000, 1.000], mean observation: -0.079 [-1.080, 0.743], loss: 0.631546, mean_absolute_error: 5.100067, mean_q: 10.020606\
  1292/50000: episode: 49, duration: 0.366s, episode steps: 22, steps per second: 60, episode reward: 22.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.500 [0.000, 1.000], mean observation: -0.061 [-1.435, 0.967], loss: 0.698576, mean_absolute_error: 5.230317, mean_q: 10.336129\
  1331/50000: episode: 50, duration: 0.649s, episode steps: 39, steps per second: 60, episode reward: 39.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.513 [0.000, 1.000], mean observation: -0.049 [-1.118, 0.833], loss: 0.548262, mean_absolute_error: 5.303451, mean_q: 10.548687\
  1349/50000: episode: 51, duration: 0.298s, episode steps: 18, steps per second: 60, episode reward: 18.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.556 [0.000, 1.000], mean observation: -0.095 [-1.311, 0.638], loss: 0.661714, mean_absolute_error: 5.445583, mean_q: 10.767272\
  1440/50000: episode: 52, duration: 1.518s, episode steps: 91, steps per second: 60, episode reward: 91.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.505 [0.000, 1.000], mean observation: -0.027 [-1.182, 1.250], loss: 0.532699, mean_absolute_error: 5.690063, mean_q: 11.430841\
  1482/50000: episode: 53, duration: 0.699s, episode steps: 42, steps per second: 60, episode reward: 42.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.476 [0.000, 1.000], mean observation: -0.127 [-1.086, 0.410], loss: 0.679365, mean_absolute_error: 5.944150, mean_q: 11.889179\
  1537/50000: episode: 54, duration: 0.917s, episode steps: 55, steps per second: 60, episode reward: 55.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.545 [0.000, 1.000], mean observation: 0.013 [-1.498, 1.336], loss: 0.787111, mean_absolute_error: 6.192994, mean_q: 12.311659\
  1624/50000: episode: 55, duration: 1.449s, episode steps: 87, steps per second: 60, episode reward: 87.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.506 [0.000, 1.000], mean observation: -0.068 [-1.409, 0.811], loss: 0.602668, mean_absolute_error: 6.394287, mean_q: 12.832239\
  1732/50000: episode: 56, duration: 1.799s, episode steps: 108, steps per second: 60, episode reward: 108.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.472 [0.000, 1.000], mean observation: -0.355 [-1.528, 0.968], loss: 0.699076, mean_absolute_error: 6.879092, mean_q: 13.852914\
  1867/50000: episode: 57, duration: 2.248s, episode steps: 135, steps per second: 60, episode reward: 135.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.474 [0.000, 1.000], mean observation: -0.220 [-1.471, 0.877], loss: 0.908498, mean_absolute_error: 7.420484, mean_q: 14.903431\
  1995/50000: episode: 58, duration: 2.134s, episode steps: 128, steps per second: 60, episode reward: 128.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.477 [0.000, 1.000], mean observation: -0.232 [-1.622, 1.007], loss: 0.888103, mean_absolute_error: 8.121478, mean_q: 16.404003\
  2164/50000: episode: 59, duration: 2.816s, episode steps: 169, steps per second: 60, episode reward: 169.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.479 [0.000, 1.000], mean observation: -0.204 [-1.497, 0.847], loss: 1.132264, mean_absolute_error: 8.765150, mean_q: 17.662083\
  2309/50000: episode: 60, duration: 2.416s, episode steps: 145, steps per second: 60, episode reward: 145.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.483 [0.000, 1.000], mean observation: -0.198 [-1.175, 0.942], loss: 1.331359, mean_absolute_error: 9.475179, mean_q: 19.109900\
  2398/50000: episode: 61, duration: 1.481s, episode steps: 89, steps per second: 60, episode reward: 89.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.461 [0.000, 1.000], mean observation: -0.298 [-1.319, 0.825], loss: 1.110518, mean_absolute_error: 9.922545, mean_q: 20.110210\
  2514/50000: episode: 62, duration: 1.934s, episode steps: 116, steps per second: 60, episode reward: 116.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.474 [0.000, 1.000], mean observation: -0.283 [-1.640, 0.831], loss: 1.449585, mean_absolute_error: 10.419283, mean_q: 21.076466\
  2625/50000: episode: 63, duration: 1.849s, episode steps: 111, steps per second: 60, episode reward: 111.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.468 [0.000, 1.000], mean observation: -0.271 [-1.451, 0.773], loss: 1.788195, mean_absolute_error: 10.938271, mean_q: 22.056715\
  2750/50000: episode: 64, duration: 2.082s, episode steps: 125, steps per second: 60, episode reward: 125.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.480 [0.000, 1.000], mean observation: -0.247 [-1.425, 0.801], loss: 1.494182, mean_absolute_error: 11.388411, mean_q: 23.106470\
  2897/50000: episode: 65, duration: 2.448s, episode steps: 147, steps per second: 60, episode reward: 147.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.469 [0.000, 1.000], mean observation: -0.253 [-1.834, 0.885], loss: 1.907233, mean_absolute_error: 12.022844, mean_q: 24.370340\
  3083/50000: episode: 66, duration: 3.100s, episode steps: 186, steps per second: 60, episode reward: 186.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.473 [0.000, 1.000], mean observation: -0.243 [-2.179, 0.961], loss: 1.623419, mean_absolute_error: 12.750538, mean_q: 25.940666\
  3206/50000: episode: 67, duration: 1.189s, episode steps: 123, steps per second: 103, episode reward: 123.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.455 [0.000, 1.000], mean observation: -0.401 [-2.027, 0.825], loss: 1.695995, mean_absolute_error: 13.411528, mean_q: 27.238771\
  3406/50000: episode: 68, duration: 0.510s, episode steps: 200, steps per second: 392, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.475 [0.000, 1.000], mean observation: -0.169 [-1.817, 0.969], loss: 1.815053, mean_absolute_error: 14.088437, mean_q: 28.633495\
  3545/50000: episode: 69, duration: 0.342s, episode steps: 139, steps per second: 406, episode reward: 139.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.468 [0.000, 1.000], mean observation: -0.283 [-1.630, 0.907], loss: 1.870480, mean_absolute_error: 14.772964, mean_q: 30.162096\
  3732/50000: episode: 70, duration: 0.511s, episode steps: 187, steps per second: 366, episode reward: 187.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.471 [0.000, 1.000], mean observation: -0.337 [-2.418, 0.924], loss: 1.736326, mean_absolute_error: 15.545474, mean_q: 31.702337\
  3878/50000: episode: 71, duration: 0.438s, episode steps: 146, steps per second: 333, episode reward: 146.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.527 [0.000, 1.000], mean observation: 0.184 [-0.792, 1.412], loss: 2.041698, mean_absolute_error: 16.302677, mean_q: 33.189621\
  4063/50000: episode: 72, duration: 0.472s, episode steps: 185, steps per second: 392, episode reward: 185.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.459 [0.000, 1.000], mean observation: -0.338 [-2.919, 0.921], loss: 2.168712, mean_absolute_error: 16.907907, mean_q: 34.434361\
  4213/50000: episode: 73, duration: 0.460s, episode steps: 150, steps per second: 326, episode reward: 150.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.467 [0.000, 1.000], mean observation: -0.405 [-2.319, 0.814], loss: 2.000382, mean_absolute_error: 17.600927, mean_q: 35.810757\
  4413/50000: episode: 74, duration: 0.540s, episode steps: 200, steps per second: 370, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.490 [0.000, 1.000], mean observation: -0.054 [-0.901, 0.815], loss: 1.880174, mean_absolute_error: 18.276691, mean_q: 37.318390\
  4602/50000: episode: 75, duration: 0.488s, episode steps: 189, steps per second: 387, episode reward: 189.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.466 [0.000, 1.000], mean observation: -0.325 [-2.551, 1.007], loss: 2.694594, mean_absolute_error: 19.177603, mean_q: 39.057442\
  4787/50000: episode: 76, duration: 0.443s, episode steps: 185, steps per second: 418, episode reward: 185.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.459 [0.000, 1.000], mean observation: -0.336 [-2.707, 0.674], loss: 2.563361, mean_absolute_error: 19.861584, mean_q: 40.392822\
  4949/50000: episode: 77, duration: 0.426s, episode steps: 162, steps per second: 380, episode reward: 162.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.451 [0.000, 1.000], mean observation: -0.375 [-2.929, 0.923], loss: 2.778711, mean_absolute_error: 20.449711, mean_q: 41.495098\
  5149/50000: episode: 78, duration: 0.514s, episode steps: 200, steps per second: 389, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.510 [0.000, 1.000], mean observation: 0.092 [-0.926, 1.352], loss: 2.798846, mean_absolute_error: 21.060410, mean_q: 42.718895\
  5309/50000: episode: 79, duration: 0.441s, episode steps: 160, steps per second: 363, episode reward: 160.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.463 [0.000, 1.000], mean observation: -0.390 [-2.416, 0.992], loss: 2.379261, mean_absolute_error: 21.742025, mean_q: 44.059921\
  5456/50000: episode: 80, duration: 0.341s, episode steps: 147, steps per second: 431, episode reward: 147.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.456 [0.000, 1.000], mean observation: -0.416 [-2.543, 0.882], loss: 1.961765, mean_absolute_error: 22.350145, mean_q: 45.338528\
  5655/50000: episode: 81, duration: 0.490s, episode steps: 199, steps per second: 406, episode reward: 199.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.462 [0.000, 1.000], mean observation: -0.321 [-2.736, 0.940], loss: 2.414418, mean_absolute_error: 22.842796, mean_q: 46.345345\
  5804/50000: episode: 82, duration: 0.349s, episode steps: 149, steps per second: 427, episode reward: 149.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.456 [0.000, 1.000], mean observation: -0.405 [-2.533, 0.642], loss: 3.430814, mean_absolute_error: 23.167814, mean_q: 46.913479\
  5961/50000: episode: 83, duration: 0.375s, episode steps: 157, steps per second: 419, episode reward: 157.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.465 [0.000, 1.000], mean observation: -0.388 [-2.602, 0.749], loss: 2.507335, mean_absolute_error: 23.593689, mean_q: 47.896248\
  6131/50000: episode: 84, duration: 0.443s, episode steps: 170, steps per second: 384, episode reward: 170.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.465 [0.000, 1.000], mean observation: -0.367 [-2.421, 0.728], loss: 2.629068, mean_absolute_error: 24.222101, mean_q: 49.219933\
  6331/50000: episode: 85, duration: 0.494s, episode steps: 200, steps per second: 405, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.480 [0.000, 1.000], mean observation: -0.179 [-1.672, 1.034], loss: 2.059819, mean_absolute_error: 24.739565, mean_q: 50.268555\
  6497/50000: episode: 86, duration: 0.415s, episode steps: 166, steps per second: 400, episode reward: 166.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.464 [0.000, 1.000], mean observation: -0.366 [-2.575, 0.855], loss: 2.186255, mean_absolute_error: 25.395943, mean_q: 51.521767\
  6656/50000: episode: 87, duration: 0.385s, episode steps: 159, steps per second: 413, episode reward: 159.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.459 [0.000, 1.000], mean observation: -0.386 [-2.533, 0.784], loss: 2.276694, mean_absolute_error: 25.900291, mean_q: 52.498322\
  6801/50000: episode: 88, duration: 0.342s, episode steps: 145, steps per second: 424, episode reward: 145.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.455 [0.000, 1.000], mean observation: -0.418 [-2.420, 0.940], loss: 1.991706, mean_absolute_error: 26.413450, mean_q: 53.632812\
  6970/50000: episode: 89, duration: 0.399s, episode steps: 169, steps per second: 423, episode reward: 169.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.467 [0.000, 1.000], mean observation: -0.362 [-2.598, 0.827], loss: 3.399569, mean_absolute_error: 26.540644, mean_q: 53.805450\
  7117/50000: episode: 90, duration: 0.349s, episode steps: 147, steps per second: 422, episode reward: 147.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.456 [0.000, 1.000], mean observation: -0.398 [-2.540, 0.783], loss: 2.997755, mean_absolute_error: 27.040071, mean_q: 54.759003\
  7272/50000: episode: 91, duration: 0.363s, episode steps: 155, steps per second: 426, episode reward: 155.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.458 [0.000, 1.000], mean observation: -0.393 [-2.912, 1.117], loss: 2.743171, mean_absolute_error: 27.183279, mean_q: 55.072254\
  7452/50000: episode: 92, duration: 0.426s, episode steps: 180, steps per second: 423, episode reward: 180.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.467 [0.000, 1.000], mean observation: -0.341 [-2.425, 0.855], loss: 2.054471, mean_absolute_error: 27.884636, mean_q: 56.516460\
  7614/50000: episode: 93, duration: 0.390s, episode steps: 162, steps per second: 415, episode reward: 162.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.457 [0.000, 1.000], mean observation: -0.390 [-2.568, 0.830], loss: 3.024552, mean_absolute_error: 28.219072, mean_q: 57.075775\
  7776/50000: episode: 94, duration: 0.386s, episode steps: 162, steps per second: 420, episode reward: 162.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.457 [0.000, 1.000], mean observation: -0.384 [-2.596, 0.709], loss: 2.486881, mean_absolute_error: 28.555923, mean_q: 57.920639\
  7976/50000: episode: 95, duration: 0.478s, episode steps: 200, steps per second: 419, episode reward: 200.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.505 [0.000, 1.000], mean observation: 0.083 [-0.803, 1.135], loss: 2.639579, mean_absolute_error: 29.137253, mean_q: 59.037811\
  8139/50000: episode: 96, duration: 0.383s, episode steps: 163, steps per second: 425, episode reward: 163.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.460 [0.000, 1.000], mean observation: -0.377 [-2.717, 0.801], loss: 3.201879, mean_absolute_error: 29.392590, mean_q: 59.391075\
